I/SleepMonitor: 1571685811971, 9.82173;1571685812064, 9.786023;1571685812159, 9.7669115;1571685812257, 9.788282;1571685812352, 9.821191;1571685812448, 9.812031;1571685812544, 9.793363;1571685812640, 9.712303;1571685812736, 9.755092;1571685812831, 9.845724;1571685812927, 9.833561;
I/SleepMonitor: 1571685813023, 9.838529;1571685813118, 9.714188;1571685813213, 9.732314;1571685813309, 9.872522;1571685813405, 9.7930565;1571685813500, 9.842476;1571685813596, 9.857298;1571685813692, 9.783611;1571685813789, 9.755566;1571685813883, 9.762314;1571685813979, 9.7643;
I/SleepMonitor: 1571685814075, 9.823964;1571685814171, 9.785711;1571685814267, 9.764482;1571685814363, 9.790857;1571685814459, 9.802258;1571685814554, 9.816431;1571685814650, 9.795409;1571685814745, 9.786391;1571685814841, 9.736192;1571685814938, 9.814491;1571685815034, 9.728136;
I/SleepMonitor: 1571685815130, 9.8165;1571685815226, 9.817686;1571685815322, 9.750556;1571685815417, 9.705256;1571685815514, 9.740137;1571685815609, 9.811878;1571685815705, 9.869125;1571685815801, 9.845099;1571685815896, 9.795535;1571685815992, 9.726899;1571685816089, 9.700495;
I/SleepMonitor: 1571685816183, 9.778732;1571685816279, 9.859986;1571685816375, 9.963375;1571685816471, 9.771264;1571685816567, 9.766749;1571685816663, 9.795067;1571685816759, 9.795327;1571685816855, 9.683023;1571685816950, 9.755656;1571685817047, 9.726398;1571685817142, 9.7834835;
I/SleepMonitor: 1571685817239, 9.819058;1571685817334, 9.8336315;1571685817429, 10.071558;1571685817525, 9.709766;1571685817621, 9.7195635;1571685817717, 9.76443;1571685817813, 9.878678;1571685817908, 9.8666315;1571685818004, 9.781156;1571685818100, 9.753453;1571685818195, 9.741123;
I/SleepMonitor: 1571685818291, 9.745444;1571685818387, 9.818836;1571685818483, 9.836064;1571685818579, 9.828919;1571685818674, 9.80273;1571685818770, 9.790491;1571685818866, 9.778806;1571685818962, 9.760073;1571685819058, 9.78643;1571685819153, 9.748015;1571685819249, 9.762249;
I/SleepMonitor: 1571685819345, 9.835863;1571685819441, 9.818906;1571685819537, 9.809426;1571685819633, 9.8148775;1571685819730, 9.763466;1571685819825, 9.719952;1571685819923, 9.814486;1571685820019, 9.885782;1571685820111, 9.755246;1571685820207, 9.841281;1571685820303, 9.737098;
I/SleepMonitor: 1571685820399, 9.71956;1571685820494, 9.812346;1571685820590, 9.866897;1571685820686, 9.84783;1571685820784, 9.7810545;1571685820878, 9.784037;1571685820974, 9.762381;1571685821070, 9.75505;1571685821166, 9.805342;1571685821263, 9.771607;1571685821357, 9.74828;
I/SleepMonitor: 1571685821453, 9.819711;1571685821549, 9.866797;1571685821646, 9.840149;1571685821740, 9.823887;1571685821836, 9.793664;1571685821932, 9.705629;1571685822028, 9.731499;1571685822123, 9.831351;1571685822220, 9.811878;1571685822315, 9.833232;1571685822412, 9.755416;
I/SleepMonitor: 1571685822507, 9.756202;1571685822603, 9.748305;1571685822699, 9.826632;1571685822794, 9.8600025;1571685822890, 9.773872;1571685822985, 9.78138;1571685823082, 9.786626;1571685823177, 9.795571;1571685823273, 9.761933;1571685823369, 9.843257;1571685823465, 9.792905;
I/SleepMonitor: 1571685823561, 9.7529335;1571685823656, 9.819815;1571685823752, 9.819241;1571685823848, 9.800377;1571685823944, 9.800776;1571685824039, 9.750765;1571685824136, 9.681436;1571685824232, 9.774313;1571685824329, 9.859857;1571685824424, 9.883362;1571685824519, 9.826062;
I/SleepMonitor: 1571685824614, 9.973206;1571685824711, 9.674663;1571685824806, 9.716809;1571685824902, 9.872083;1571685824998, 9.842827;1571685825094, 9.833444;1571685825190, 9.764798;1571685825285, 9.750752;1571685825381, 9.760198;1571685825477, 9.826457;1571685825575, 9.841035;
I/SleepMonitor: 1571685825668, 9.781428;1571685825764, 9.826862;1571685825859, 9.819558;1571685825956, 9.828826;1571685826050, 9.8003025;1571685826146, 9.767117;1571685826244, 9.753046;1571685826339, 9.7697115;1571685826434, 9.816805;1571685826530, 9.8257885;1571685826626, 9.842715;
I/SleepMonitor: 1571685826722, 9.810591;1571685826817, 9.748903;1571685826915, 9.738823;1571685827009, 9.78379;1571685827106, 9.499868;1571685827200, 9.867334;1571685827296, 9.726078;1571685827399, 9.860004;1571685827489, 9.722234;1571685827585, 9.802833;1571685827679, 9.795386;
I/SleepMonitor: 1571685827775, 9.838371;1571685827876, 9.805381;1571685827967, 9.822477;1571685828064, 9.798127;1571685828159, 9.785927;1571685828254, 9.814896;1571685828350, 9.795569;1571685828446, 9.764718;1571685828542, 9.786203;1571685828639, 9.843205;1571685828735, 9.833387;
I/SleepMonitor: 1571685828830, 9.857883;1571685828926, 9.750881;1571685829022, 9.683972;1571685829117, 9.724055;1571685829215, 9.81912;1571685829309, 9.840517;1571685829405, 9.8265085;1571685829500, 9.805064;1571685829596, 9.784126;1571685829691, 9.754796;1571685829787, 9.7792845;
I/SleepMonitor: 1571685829886, 9.852263;1571685829979, 9.771591;1571685830074, 9.803407;1571685830171, 9.787853;1571685830267, 9.795176;1571685830364, 9.802424;1571685830458, 9.774051;1571685830553, 9.755821;1571685830650, 9.79064;1571685830746, 9.793083;1571685830841, 9.831469;
I/SleepMonitor: 1571685830938, 9.845569;1571685831037, 9.819701;1571685831127, 9.734292;1571685831225, 9.717496;1571685831320, 9.795777;1571685831416, 9.842924;1571685831512, 9.845161;1571685831608, 9.838999;1571685831703, 9.782157;1571685831799, 9.738955;1571685831895, 9.757804;
I/SleepMonitor: 1571685831991, 9.814405;1571685832087, 9.831311;1571685832182, 9.7718725;1571685832279, 9.798178;1571685832376, 9.764952;1571685832472, 9.840556;1571685832568, 9.783705;1571685832662, 9.996476;1571685832758, 9.716937;1571685832854, 9.752805;1571685832951, 9.767071;
I/SleepMonitor: 1571685833046, 9.7900915;1571685833142, 9.807114;1571685833237, 9.812952;1571685833333, 9.721229;1571685833428, 9.542333;1571685833526, 9.700238;1571685833621, 11.681665;1571685833717, 12.154375;1571685833812, 9.373304;1571685833908, 8.494339;1571685834004, 7.11185;
I/SleepMonitor: 1571685834099, 9.203233;1571685834195, 10.430384;1571685834291, 12.516147;1571685834386, 12.47475;1571685834483, 12.090574;1571685834579, 9.95926;1571685834675, 9.098992;1571685834770, 9.641864;1571685834866, 9.436282;1571685834961, 9.771385;1571685835058, 8.795198;
I/SleepMonitor: 1571685835152, 8.601471;1571685835249, 12.388276;1571685835344, 10.211919;1571685835441, 15.644586;1571685835537, 8.593984;1571685835632, 11.308122;1571685835728, 9.84254;1571685835825, 9.765041;1571685835920, 9.82677;1571685836017, 10.956915;1571685836112, 9.293384;
I/SleepMonitor: 1571685836207, 10.0133295;1571685836304, 10.283079;1571685836399, 9.967588;1571685836495, 10.223851;1571685836591, 8.706541;1571685836686, 9.196615;1571685836782, 9.761995;1571685836879, 9.699867;1571685836974, 8.273443;1571685837070, 11.294353;1571685837165, 9.314705;
I/SleepMonitor: 1571685837261, 9.776751;1571685837357, 8.629886;1571685837452, 10.038105;1571685837549, 9.623565;1571685837645, 9.156853;1571685837741, 9.453689;1571685837837, 9.9811;1571685837932, 10.560043;1571685838028, 9.661501;1571685838124, 9.639025;1571685838219, 9.832343;
